Data,Carga
29/02/2020 11:00,65055.64
29/02/2020 12:00,64475.704
29/02/2020 13:00,64410.146
29/02/2020 14:00,64436.923
29/02/2020 15:00,64403.887
29/02/2020 16:00,64538.189
29/02/2020 17:00,65353.853
29/02/2020 18:00,69717.368
29/02/2020 19:00,73679.016
29/02/2020 20:00,71870.729
29/02/2020 21:00,69329.748
29/02/2020 22:00,66126.064
29/02/2020 23:00,63065.6
01/03/2020 00:00,59714.955
01/03/2020 01:00,56984.233
01/03/2020 02:00,54951.327
01/03/2020 03:00,53489.569
01/03/2020 04:00,52722.011
01/03/2020 05:00,51884.539
01/03/2020 06:00,49314.414
01/03/2020 07:00,49361.747
01/03/2020 08:00,50976.073
01/03/2020 09:00,52411.491
01/03/2020 10:00,53700.574
01/03/2020 11:00,54943.209
01/03/2020 12:00,55299.017
01/03/2020 13:00,55480.087
01/03/2020 14:00,55842.596
01/03/2020 15:00,56355.359
01/03/2020 16:00,57353.689
01/03/2020 17:00,59617.663
01/03/2020 18:00,64473.233
01/03/2020 19:00,68160.682
01/03/2020 20:00,67748.184
01/03/2020 21:00,66408.642
01/03/2020 22:00,64564.391
01/03/2020 23:00,61380.201
02/03/2020 00:00,58755.778
02/03/2020 01:00,56330.168
02/03/2020 02:00,54783.283
02/03/2020 03:00,54003.22
02/03/2020 04:00,54046.575
02/03/2020 05:00,56040.42
02/03/2020 06:00,58443.702
02/03/2020 07:00,62627.425
02/03/2020 08:00,68067.864
02/03/2020 09:00,70796.12
02/03/2020 10:00,73221.47
02/03/2020 11:00,73607.884
02/03/2020 12:00,71030.271
02/03/2020 13:00,73114.229
02/03/2020 14:00,74936.023
02/03/2020 15:00,75005.3
02/03/2020 16:00,74573.067
02/03/2020 17:00,70733.483
02/03/2020 18:00,70707.178
02/03/2020 19:00,74110.592
02/03/2020 20:00,73641.349
02/03/2020 21:00,73789.29
02/03/2020 22:00,70789.34
02/03/2020 23:00,66618.411
03/03/2020 00:00,62365.376
03/03/2020 01:00,59193.576
03/03/2020 02:00,57273.774
03/03/2020 03:00,56498.015
03/03/2020 04:00,56557.765
03/03/2020 05:00,58157.881
